iter	Passed	Remaining
0	6	1243
1	10	1088
2	15	1012
3	19	966
4	23	935
5	28	920
6	32	904
7	36	886
8	41	880
9	45	872
10	50	861
11	54	856
12	58	840
13	62	836
14	67	828
15	71	819
16	75	813
17	79	806
18	84	800
19	88	792
20	92	787
21	96	782
22	100	775
23	104	769
24	108	761
25	112	756
26	117	750
27	121	744
28	124	736
29	129	733
30	133	727
31	137	721
32	141	714
33	145	711
34	149	705
35	153	701
36	157	694
37	161	689
38	165	684
39	169	678
40	173	673
41	178	669
42	182	665
43	186	662
44	190	656
45	194	652
46	198	646
47	202	639
48	205	633
49	209	627
50	212	619
51	215	613
52	219	607
53	222	601
54	225	594
55	228	587
56	231	581
57	235	576
58	238	570
59	242	565
60	245	559
61	248	553
62	251	547
63	254	541
64	258	536
65	261	531
66	265	526
67	268	521
68	271	515
69	275	511
70	278	506
71	281	500
72	284	495
73	287	489
74	291	485
75	294	480
76	297	475
77	301	471
78	304	466
79	307	461
80	311	456
81	314	452
82	317	447
83	321	443
84	324	438
85	327	433
86	330	429
87	333	424
88	337	420
89	340	416
90	344	412
91	347	407
92	350	403
93	353	398
94	356	393
95	359	389
96	363	385
97	366	381
98	369	377
99	372	372
100	375	368
101	379	364
102	382	360
103	385	356
104	389	352
105	392	348
106	395	344
107	399	340
108	402	336
109	405	332
110	408	327
111	412	323
112	415	319
113	418	315
114	421	311
115	424	307
116	428	303
117	430	299
118	434	295
119	437	291
120	440	287
121	443	283
122	447	280
123	450	276
124	453	272
125	456	268
126	460	264
127	463	260
128	466	256
129	470	253
130	473	249
131	476	245
132	479	241
133	482	237
134	486	234
135	488	230
136	492	226
137	496	222
138	499	219
139	503	215
140	506	211
141	509	207
142	512	204
143	515	200
144	518	196
145	521	193
146	525	189
147	528	185
148	531	181
149	534	178
150	538	174
151	541	170
152	544	167
153	546	163
154	549	159
155	553	156
156	556	152
157	559	148
158	562	145
159	566	141
160	569	137
161	572	134
162	575	130
163	579	127
164	582	123
165	585	119
166	588	116
167	591	112
168	594	109
169	597	105
170	601	101
171	604	98
172	608	94
173	611	91
174	614	87
175	617	84
176	620	80
177	623	77
178	627	73
179	630	70
180	633	66
181	636	62
182	639	59
183	642	55
184	646	52
185	649	48
186	652	45
187	656	41
188	659	38
189	662	34
190	665	31
191	668	27
192	672	24
193	674	20
194	678	17
195	681	13
196	684	10
197	687	6
198	690	3
199	693	0
